Player,Pos,3P,2P,TRB,AST,STL,BLK
Josh Richardson,SG,1.4,2.4,3.2,2.6,1.1,0.7
Austin Rivers,SG,1.5,2.9,2.2,2.8,0.6,0.1
Iman Shumpert,SG,1.2,1.4,2.9,1.4,0.8,0.4
Marcus Smart,SG,1.2,2.2,3.9,4.6,1.6,0.4
J.R. Smith,SG,2.3,0.7,2.8,1.5,1,0.3
Jason Smith,C,0.5,1.9,3.5,0.5,0.3,0.7
Tony Snell,SG,1.8,1.3,3.1,1.2,0.7,0.2
Marreese Speights,C,1.3,1.7,4.5,0.8,0.3,0.5
Nik Stauskas,SG,1.7,1.5,2.8,2.4,0.6,0.4
Edy Tavares,C,0,2,5.5,0.5,0,3
Garrett Temple,SG,1.3,1.6,2.8,2.6,1.3,0.4
Klay Thompson,SG,3.4,4.8,3.7,2.1,0.8,0.5
Tristan Thompson,C,0,3.4,9.2,1,0.5,1.1
Karl-Anthony Towns,C,1.2,8.5,12.3,2.7,0.7,1.3
Myles Turner,C,0.5,5,7.3,1.3,0.9,2.1
Jonas Valanciunas,C,0,4.9,9.5,0.7,0.5,0.8
Denzel Valentine,SG,1.3,0.5,2.6,1.1,0.5,0.1
Nikola Vucevic,C,0.3,6.1,10.4,2.8,1,1
Dwyane Wade,SG,0.8,6.2,4.5,3.8,1.4,0.7
Dion Waiters,SG,1.8,4.3,3.3,4.3,0.9,0.4
Hassan Whiteside,C,0,7,14.1,0.7,0.7,2.1
Lou Williams,SG,2,3.3,2.5,3,1,0.2
